Pr,UL,UG,AlfaL,AlfaG,Temperatura,ρL,ρG
1.2946528642459796e6,3.0342468,2.986616,0.49716187999999994,0.50283812,60.0,988.1714824982867,822.8820276338507
1.2946528642459796e6,3.088686275351596,3.0133401070006016,0.4953541751339248,0.5046458248660752,59.176824860481695,979.6347362820653,808.4125406945358
1.3441513558414364e6,3.143137087966052,3.0400779557989126,0.4991550975880176,0.5008449024119823,57.148093047167826,987.8348599753981,822.2868806177117
1.394616035234094e6,3.082945217307908,3.0217878457335363,0.4990472008386616,0.5009527991613384,54.667319892148186,988.1231415276271,822.7550442548355
1.4450668443261243e6,3.080075691079793,3.022035474537782,0.4984312413912422,0.5015687586087578,52.62821465247959,988.150448602593,822.7789855591883
1.4955153246908453e6,3.0779494124895903,3.0240395538672407,0.497791585530874,0.502208414469126,51.365088793223194,988.1698874551843,822.7895328728831
1.5459623231677667e6,3.0763473633792353,3.0255902734705615,0.4973876109625951,0.5026123890374049,50.7392906379948,988.1890307121814,822.7995776771709
1.5964087403337639e6,3.075572594987065,3.0262953754584956,0.497209505994008,0.502790494005992,50.48230308172838,988.2081445074379,822.8095726402869
1.6468553439698478e6,3.075328878606948,3.026452555330032,0.49715273461473536,0.5028472653852647,50.39279231230396,988.2272400880529,822.819536565435
1.6973025197066986e6,3.075303151143165,3.0263832525274372,0.49714025812295215,0.5028597418770478,50.36595033841766,988.2463199756133,822.8294735724018
1.747750388077555e6,3.075338786753807,3.026249928912033,0.4971387987895859,0.5028612012104141,50.3589660393869,988.2653859869395,822.8393866997756
1.7981989609930473e6,3.075385026908895,3.026105920945329,0.49713874442515593,0.5028612555748441,50.35739819794208,988.2844394822738,822.8492782575518
1.8486482232576339e6,3.0754315569540007,3.025962304093982,0.4971384550501862,0.5028615449498137,50.35711387889552,988.3034814414749,822.8591499203764
1.8990981586406964e6,3.0754779065777758,3.025819668797007,0.4971379823539655,0.5028620176460346,50.35709380700785,988.3225125083823,822.8690027914306
1.9495487543090112e6,3.075524679912437,3.025677391728971,0.49713748192383717,0.5028625180761628,50.35711911401755,988.3415330145958,822.8788374409397
2.0e6,3.0755721596139063,3.0255351663078107,0.49713753781254894,0.5028625746084892,50.35715239539351,988.3668841911705,822.899448469315
